,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.568,0.41911111111111116,0.48975,0.5061428571428571,0.5283333333333334,0.5152,0.4265,0.35799999999999993,0.421,0.471
After_Task_2,0.188,0.518,0.48975,0.5061428571428571,0.5283333333333334,0.5152,0.4265,0.35799999999999993,0.421,0.471
After_Task_3,0.227,0.448,0.556,0.5061428571428571,0.5283333333333334,0.5152,0.4265,0.35799999999999993,0.421,0.471
After_Task_4,0.229,0.485,0.537,0.523,0.5283333333333334,0.5152,0.4265,0.35799999999999993,0.421,0.471
After_Task_5,0.357,0.37,0.479,0.503,0.55,0.5152,0.4265,0.35799999999999993,0.421,0.471
After_Task_6,0.28,0.396,0.438,0.477,0.525,0.564,0.4265,0.35799999999999993,0.421,0.471
After_Task_7,0.17,0.401,0.474,0.502,0.548,0.477,0.437,0.35799999999999993,0.421,0.471
After_Task_8,0.145,0.399,0.498,0.538,0.513,0.482,0.423,0.372,0.421,0.471
After_Task_9,0.13,0.35,0.447,0.492,0.531,0.521,0.422,0.344,0.411,0.471
After_Task_10,0.138,0.405,0.489,0.508,0.503,0.532,0.424,0.358,0.431,0.471
