,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.568,0.07,0.056625,0.095,0.12783333333333333,0.1516,0.174,0.17666666666666667,0.319,0.791
After_Task_2,0.0,0.63,0.056625,0.095,0.12783333333333333,0.1516,0.174,0.17666666666666667,0.319,0.791
After_Task_3,0.0,0.0,0.453,0.095,0.12783333333333333,0.1516,0.174,0.17666666666666667,0.319,0.791
After_Task_4,0.0,0.0,0.0,0.665,0.12783333333333333,0.1516,0.174,0.17666666666666667,0.319,0.791
After_Task_5,0.0,0.0,0.0,0.0,0.767,0.1516,0.174,0.17666666666666667,0.319,0.791
After_Task_6,0.0,0.0,0.0,0.0,0.0,0.758,0.174,0.17666666666666667,0.319,0.791
After_Task_7,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.17666666666666667,0.319,0.791
After_Task_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.319,0.791
After_Task_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.791
After_Task_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791
