,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.568,0.07466666666666667,0.062375,0.097,0.12816666666666668,0.1486,0.1865,0.17300000000000001,0.314,0.799
After_Task_2,0.0,0.672,0.062375,0.097,0.12816666666666668,0.1486,0.1865,0.17300000000000001,0.314,0.799
After_Task_3,0.0,0.0,0.499,0.097,0.12816666666666668,0.1486,0.1865,0.17300000000000001,0.314,0.799
After_Task_4,0.0,0.0,0.0,0.679,0.12816666666666668,0.1486,0.1865,0.17300000000000001,0.314,0.799
After_Task_5,0.0,0.0,0.0,0.0,0.769,0.1486,0.1865,0.17300000000000001,0.314,0.799
After_Task_6,0.0,0.0,0.0,0.0,0.0,0.743,0.1865,0.17300000000000001,0.314,0.799
After_Task_7,0.0,0.0,0.0,0.0,0.0,0.0,0.746,0.17300000000000001,0.314,0.799
After_Task_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519,0.314,0.799
After_Task_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628,0.799
After_Task_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799
