method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
EWC,0,26.032,0.39,0.0,25.1477,fisher+params (1 tasks)
EWC,1,33.277,0.23,0.0,50.2955,fisher+params (2 tasks)
EWC,2,43.576,0.23,0.0,75.4432,fisher+params (3 tasks)
EWC,3,53.85,0.23,0.0,100.5909,fisher+params (4 tasks)
EWC,4,64.143,0.23,0.0,125.7387,fisher+params (5 tasks)
EWC,5,74.423,0.23,0.0,150.8864,fisher+params (6 tasks)
EWC,6,85.166,0.23,0.0,176.0341,fisher+params (7 tasks)
EWC,7,94.302,0.22,0.0,201.1819,fisher+params (8 tasks)
EWC,8,104.275,0.23,0.0,226.3296,fisher+params (9 tasks)
EWC,9,114.316,0.23,0.0,251.4774,fisher+params (10 tasks)
