method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
MAS,0,25.866,0.38,0.0,25.1477,importance + prev_params
MAS,1,34.005,0.22,0.0,25.1477,importance + prev_params
MAS,2,33.22,0.21,0.0,25.1477,importance + prev_params
MAS,3,33.3,0.21,0.0,25.1477,importance + prev_params
MAS,4,33.572,0.21,0.0,25.1477,importance + prev_params
MAS,5,33.428,0.21,0.0,25.1477,importance + prev_params
MAS,6,33.356,0.21,0.0,25.1477,importance + prev_params
MAS,7,33.213,0.21,0.0,25.1477,importance + prev_params
MAS,8,33.288,0.21,0.0,25.1477,importance + prev_params
MAS,9,33.202,0.21,0.0,25.1477,importance + prev_params
