method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
OGD,0,26.179,0.39,0.0,12.5739,task_grads (1 vectors)
OGD,1,26.362,0.22,0.0,25.1477,task_grads (2 vectors)
OGD,2,26.897,0.22,0.0,37.7216,task_grads (3 vectors)
OGD,3,27.447,0.22,0.0,50.2955,task_grads (4 vectors)
OGD,4,27.906,0.22,0.0,62.8693,task_grads (5 vectors)
OGD,5,28.521,0.22,0.0,75.4432,task_grads (6 vectors)
OGD,6,28.96,0.22,0.0,88.0171,task_grads (7 vectors)
OGD,7,29.449,0.22,0.0,100.5909,task_grads (8 vectors)
OGD,8,29.94,0.22,0.0,113.1648,task_grads (9 vectors)
OGD,9,30.422,0.22,0.0,125.7387,task_grads (10 vectors)
