method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
OGD,0,26.259,0.38,0.0,12.5739,task_grads (1 vectors)
OGD,1,26.944,0.24,0.0,25.1477,task_grads (2 vectors)
OGD,2,27.287,0.22,0.0,37.7216,task_grads (3 vectors)
OGD,3,28.876,0.22,0.0,50.2955,task_grads (4 vectors)
OGD,4,28.238,0.22,0.0,62.8693,task_grads (5 vectors)
OGD,5,28.761,0.22,0.0,75.4432,task_grads (6 vectors)
OGD,6,29.223,0.23,0.0,88.0171,task_grads (7 vectors)
OGD,7,29.627,0.22,0.0,100.5909,task_grads (8 vectors)
OGD,8,29.898,0.23,0.0,113.1648,task_grads (9 vectors)
OGD,9,30.436,0.22,0.0,125.7387,task_grads (10 vectors)
