,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8662,,,,,,,,,
After_Task_2,0.8765,0.8898,,,,,,,,
After_Task_3,0.8494,0.8972,0.8961,,,,,,,
After_Task_4,0.8004,0.8758,0.903,0.8917,,,,,,
After_Task_5,0.7409,0.8351,0.884,0.9023,0.8917,,,,,
After_Task_6,0.6672,0.7699,0.8403,0.8818,0.9018,0.8937,,,,
After_Task_7,0.5893,0.6878,0.7705,0.8358,0.8802,0.9046,0.8977,,,
After_Task_8,0.5333,0.6236,0.7058,0.7819,0.8418,0.8861,0.9068,0.8971,,
After_Task_9,0.4869,0.5611,0.6331,0.7052,0.7787,0.8398,0.8865,0.9084,0.9012,
After_Task_10,0.4603,0.5285,0.5821,0.6413,0.7022,0.778,0.8383,0.8869,0.9106,0.9033
