,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8666,,,,,,,,,
After_Task_2,0.8684,0.8862,,,,,,,,
After_Task_3,0.8248,0.8847,0.893,,,,,,,
After_Task_4,0.7649,0.8557,0.896,0.8868,,,,,,
After_Task_5,0.6937,0.8073,0.8721,0.8978,0.8888,,,,,
After_Task_6,0.6128,0.7336,0.8279,0.8729,0.8964,0.888,,,,
After_Task_7,0.5436,0.6602,0.7597,0.8332,0.8762,0.8967,0.8861,,,
After_Task_8,0.4935,0.5964,0.6971,0.7788,0.8383,0.8823,0.8977,0.8817,,
After_Task_9,0.4641,0.5565,0.6425,0.723,0.7926,0.8488,0.8824,0.8968,0.8892,
After_Task_10,0.4464,0.5321,0.6111,0.6762,0.7335,0.7977,0.8435,0.8766,0.899,0.889
