,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8662,,,,,,,,,
After_Task_2,0.8738,0.8775,,,,,,,,
After_Task_3,0.8491,0.89,0.8762,,,,,,,
After_Task_4,0.7889,0.8654,0.8902,0.8689,,,,,,
After_Task_5,0.7039,0.8094,0.8659,0.8844,0.8689,,,,,
After_Task_6,0.6085,0.7266,0.8124,0.8658,0.8838,0.8673,,,,
After_Task_7,0.5011,0.6198,0.7314,0.8146,0.8651,0.8847,0.8694,,,
After_Task_8,0.4152,0.5133,0.6428,0.7434,0.8166,0.8711,0.8874,0.8687,,
After_Task_9,0.3338,0.4102,0.5326,0.6397,0.7479,0.8267,0.8743,0.8886,0.8672,
After_Task_10,0.2803,0.3291,0.4308,0.5164,0.6373,0.7443,0.8239,0.8725,0.889,0.8724
