,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8662,,,,,,,,,
After_Task_2,0.8632,0.8858,,,,,,,,
After_Task_3,0.8147,0.8832,0.8938,,,,,,,
After_Task_4,0.7246,0.8411,0.8924,0.8909,,,,,,
After_Task_5,0.6123,0.755,0.8488,0.8939,0.8932,,,,,
After_Task_6,0.4987,0.641,0.7745,0.8543,0.8952,0.8935,,,,
After_Task_7,0.4019,0.5231,0.6694,0.785,0.8616,0.8986,0.8952,,,
After_Task_8,0.3205,0.4144,0.5567,0.686,0.7997,0.8688,0.9008,0.8972,,
After_Task_9,0.2574,0.3207,0.4415,0.5633,0.6953,0.8016,0.8718,0.9011,0.8987,
After_Task_10,0.2202,0.2624,0.3572,0.4503,0.5658,0.7005,0.8085,0.8752,0.9049,0.9031
