,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8666,,,,,,,,,
After_Task_2,0.8735,0.8909,,,,,,,,
After_Task_3,0.8308,0.891,0.8955,,,,,,,
After_Task_4,0.7533,0.8499,0.8931,0.8916,,,,,,
After_Task_5,0.6448,0.7741,0.8559,0.8929,0.8943,,,,,
After_Task_6,0.5075,0.6501,0.7749,0.8554,0.8935,0.8953,,,,
After_Task_7,0.4041,0.522,0.6655,0.7798,0.857,0.8964,0.8962,,,
After_Task_8,0.3182,0.4069,0.5434,0.6774,0.7866,0.867,0.8997,0.9007,,
After_Task_9,0.2526,0.3048,0.42,0.5396,0.6729,0.7938,0.8678,0.9023,0.901,
After_Task_10,0.218,0.2517,0.33,0.4242,0.5342,0.6816,0.7982,0.8709,0.9048,0.9035
