Dataset,Method,Metric,Mean,Std,N
CIFAR-100,Vanilla,ACC,0.1744,0.007382411530116707,3
CIFAR-100,Vanilla,BWT,-0.511037037037037,0.02050440750237176,3
CIFAR-100,Vanilla,LA,0.6343333333333333,0.02129825240613791,3
CIFAR-100,Vanilla,Forgetting,0.511037037037037,0.02050440750237176,3
CIFAR-100,EWC,ACC,0.17079999999999998,0.008036168241145785,3
CIFAR-100,EWC,BWT,-0.4508518518518519,0.07432728942562597,3
CIFAR-100,EWC,LA,0.5765666666666666,0.07015132848983605,3
CIFAR-100,EWC,Forgetting,0.4508518518518519,0.07432728942562597,3
CIFAR-100,MAS,ACC,0.4028666666666667,0.01650178441529551,3
CIFAR-100,MAS,BWT,-0.09062962962962963,0.014377718625252802,3
CIFAR-100,MAS,LA,0.4844333333333333,0.011930446578211355,3
CIFAR-100,MAS,Forgetting,0.09062962962962963,0.014377718625252802,3
CIFAR-100,OGD,ACC,0.1752,0.005457105459856897,3
CIFAR-100,OGD,BWT,-0.5104444444444444,0.05377877256502624,3
CIFAR-100,OGD,LA,0.6346,0.044555209197877935,3
CIFAR-100,OGD,Forgetting,0.5104444444444444,0.05377877256502624,3
CIFAR-100,ER,ACC,0.46493333333333337,0.010200108931880223,3
CIFAR-100,ER,BWT,-0.21481481481481482,0.008273281569526671,3
CIFAR-100,ER,LA,0.6582666666666667,0.0038586123009300595,3
CIFAR-100,ER,Forgetting,0.21481481481481482,0.008273281569526671,3
CIFAR-100,A-GEM,ACC,0.41369999999999996,0.010724116125194975,3
CIFAR-100,A-GEM,BWT,-0.2787777777777778,0.03362355141677547,3
CIFAR-100,A-GEM,LA,0.6646000000000001,0.031141719070511647,3
CIFAR-100,A-GEM,Forgetting,0.2787777777777778,0.03362355141677547,3
Rotated MNIST,Vanilla,ACC,0.5960000000000001,0.003033820473704193,3
Rotated MNIST,Vanilla,BWT,-0.3310185185185185,0.0030916498895865265,3
Rotated MNIST,Vanilla,LA,0.8939166666666667,0.00025486379804822866,3
Rotated MNIST,Vanilla,Forgetting,0.3310185185185185,0.0030916498895865265,3
Rotated MNIST,EWC,ACC,0.60689,0.001951050998820887,3
Rotated MNIST,EWC,BWT,-0.3171666666666666,0.002012880334942556,3
Rotated MNIST,EWC,LA,0.89234,0.0004229263135188694,3
Rotated MNIST,EWC,Forgetting,0.3171666666666666,0.002012880334942556,3
Rotated MNIST,MAS,ACC,0.6385833333333334,0.0020528408500308888,3
Rotated MNIST,MAS,BWT,-0.25755185185185187,0.0032177661823677615,3
Rotated MNIST,MAS,LA,0.8703799999999999,0.0008649084729997181,3
Rotated MNIST,MAS,Forgetting,0.25755185185185187,0.0032177661823677615,3
Rotated MNIST,OGD,ACC,0.5913633333333332,0.009695085811321582,3
Rotated MNIST,OGD,BWT,-0.3332037037037037,0.010378921078006347,3
Rotated MNIST,OGD,LA,0.8912466666666669,0.00036307330144501185,3
Rotated MNIST,OGD,Forgetting,0.3332037037037037,0.010378921078006347,3
Rotated MNIST,ER,ACC,0.8326366666666667,0.00181903515328559,3
Rotated MNIST,ER,BWT,-0.05932222222222223,0.002053261983689011,3
Rotated MNIST,ER,LA,0.8860266666666666,0.0009738697152197744,3
Rotated MNIST,ER,Forgetting,0.05932222222222223,0.002053261983689011,3
Rotated MNIST,A-GEM,ACC,0.7119500000000002,0.0028027486508783108,3
Rotated MNIST,A-GEM,BWT,-0.20156666666666667,0.002773433640161347,3
Rotated MNIST,A-GEM,LA,0.89336,0.0007452963616352779,3
Rotated MNIST,A-GEM,Forgetting,0.20156666666666667,0.002773433640161347,3
EMNIST,Vanilla,ACC,0.8393835514130369,0.0005652640155203507,3
EMNIST,Vanilla,BWT,0.03448852094162635,0.0010779538314500455,3
EMNIST,Vanilla,LA,0.8117927346597359,0.001395006670593445,3
EMNIST,Vanilla,Forgetting,-0.03448852094162635,0.0010779538314500455,3
EMNIST,EWC,ACC,0.8311346119376233,0.0010385354619849056,3
EMNIST,EWC,BWT,0.028841414231941215,0.001207098980226277,3
EMNIST,EWC,LA,0.8080614805520702,0.000639371067653306,3
EMNIST,EWC,Forgetting,-0.028841414231941215,0.001207098980226277,3
EMNIST,MAS,ACC,0.877098643723487,0.0010514759426681391,3
EMNIST,MAS,BWT,0.020178907510306498,0.0018179951581158355,3
EMNIST,MAS,LA,0.8609555177152416,0.0010847513286276018,3
EMNIST,MAS,Forgetting,-0.020178907510306498,0.0018179951581158355,3
EMNIST,OGD,ACC,0.5641886240066918,0.005509440330250662,3
EMNIST,OGD,BWT,0.0686801696839338,0.008623401436358024,3
EMNIST,OGD,LA,0.5092444882595447,0.00640109627138106,3
EMNIST,OGD,Forgetting,-0.0686801696839338,0.008623401436358024,3
EMNIST,ER,ACC,0.8391908645515921,0.0015977209623988869,3
EMNIST,ER,BWT,0.03443157375873813,0.0012908740050261455,3
EMNIST,ER,LA,0.8116456055446019,0.0006642534447637824,3
EMNIST,ER,Forgetting,-0.03443157375873813,0.0012908740050261455,3
EMNIST,A-GEM,ACC,0.8428272689251358,0.0009762235799538508,3
EMNIST,A-GEM,BWT,0.03570961791240964,0.0005736468333468796,3
EMNIST,A-GEM,LA,0.8142595745952083,0.0006487691970208022,3
EMNIST,A-GEM,Forgetting,-0.03570961791240964,0.0005736468333468796,3
